	lmd		Sun_flux	Sun_phot	SunV14_phot
	um		W/m2/nm	    photon/s/m2/nm  photon/s/m2/nm
   3.4170000e-01   1.0070000e+00   1.7310187e+18   1.7310187e+02
   3.4320000e-01   1.0470000e+00   1.8076788e+18   1.8076788e+02
   3.4440000e-01   9.2850000e-01   1.6086900e+18   1.6086900e+02
   3.5080000e-01   1.0010000e+00   1.7665298e+18   1.7665298e+02
   3.5620000e-01   1.0860000e+00   1.9460368e+18   1.9460368e+02
   3.6160000e-01   9.5980000e-01   1.7459688e+18   1.7459688e+02
   3.6690000e-01   1.1700000e+00   2.1595382e+18   2.1595382e+02
   3.7230000e-01   1.2290000e+00   2.3018246e+18   2.3018246e+02
   3.7760000e-01   1.1080000e+00   2.1047429e+18   2.1047429e+02
   3.8290000e-01   1.0990000e+00   2.1169489e+18   2.1169489e+02
   3.8830000e-01   1.0030000e+00   1.9592761e+18   1.9592761e+02
   3.9360000e-01   1.0940000e+00   2.1662059e+18   2.1662059e+02
   3.9890000e-01   1.2000000e+00   2.4080893e+18   2.4080893e+02
   4.0420000e-01   1.8080000e+00   3.6763940e+18   3.6763940e+02
   4.1370000e-01   1.6960000e+00   3.5297072e+18   3.5297072e+02
   4.1890000e-01   1.7560000e+00   3.7005151e+18   3.7005151e+02
   4.2420000e-01   1.7480000e+00   3.7302626e+18   3.7302626e+02
   4.2950000e-01   1.6510000e+00   3.5672829e+18   3.5672829e+02
   4.3470000e-01   1.5490000e+00   3.3874147e+18   3.3874147e+02
   4.3990000e-01   1.7710000e+00   3.9192218e+18   3.9192218e+02
   4.4520000e-01   1.9320000e+00   4.3270269e+18   4.3270269e+02
   4.5040000e-01   2.0080000e+00   4.5497696e+18   4.5497696e+02
   4.5560000e-01   2.0570000e+00   4.7146051e+18   4.7146051e+02
   4.6080000e-01   2.0860000e+00   4.8356414e+18   4.8356414e+02
   4.6600000e-01   2.0750000e+00   4.8644230e+18   4.8644230e+02
   4.7120000e-01   2.0040000e+00   4.7504014e+18   4.7504014e+02
   4.7640000e-01   2.0800000e+00   4.9849683e+18   4.9849683e+02
   4.8150000e-01   2.1020000e+00   5.0916239e+18   5.0916239e+02
   4.8670000e-01   1.9300000e+00   4.7254804e+18   4.7254804e+02
   4.9180000e-01   1.9610000e+00   4.8516943e+18   4.8516943e+02
   4.9700000e-01   1.9910000e+00   4.9780008e+18   4.9780008e+02
   5.0210000e-01   1.9080000e+00   4.8194325e+18   4.8194325e+02
   5.0930000e-01   1.9540000e+00   5.0064000e+18   5.0064000e+02
   5.1440000e-01   1.8840000e+00   4.8753879e+18   4.8753879e+02
   5.1950000e-01   1.7400000e+00   4.5473891e+18   4.5473891e+02
   5.2460000e-01   1.8530000e+00   4.8902495e+18   4.8902495e+02
   5.2970000e-01   1.8220000e+00   4.8551836e+18   4.8551836e+02
   5.3580000e-01   1.8950000e+00   5.1078630e+18   5.1078630e+02
   5.4090000e-01   1.8370000e+00   4.9986583e+18   4.9986583e+02
   5.4590000e-01   1.8680000e+00   5.1299990e+18   5.1299990e+02
   5.5100000e-01   1.8680000e+00   5.1779253e+18   5.1779253e+02
   5.5610000e-01   1.8700000e+00   5.2314468e+18   5.2314468e+02
   5.6110000e-01   1.7890000e+00   5.0498435e+18   5.0498435e+02
   5.6710000e-01   1.7880000e+00   5.1009900e+18   5.1009900e+02
   5.7210000e-01   1.7840000e+00   5.1344522e+18   5.1344522e+02
   5.7720000e-01   1.8160000e+00   5.2731422e+18   5.2731422e+02
   5.8220000e-01   1.7950000e+00   5.2573146e+18   5.2573146e+02
   5.8720000e-01   1.7970000e+00   5.3083731e+18   5.3083731e+02
   5.9210000e-01   1.7270000e+00   5.1441629e+18   5.1441629e+02
   5.9710000e-01   1.7650000e+00   5.3017482e+18   5.3017482e+02
   6.0210000e-01   1.7310000e+00   5.2431588e+18   5.2431588e+02
   6.0710000e-01   1.7400000e+00   5.3141865e+18   5.3141865e+02
   6.1200000e-01   1.6960000e+00   5.2216118e+18   5.2216118e+02
   6.1690000e-01   1.6440000e+00   5.1020404e+18   5.1020404e+02
   6.2190000e-01   1.6670000e+00   5.2153501e+18   5.2153501e+02
   6.2780000e-01   1.6480000e+00   5.2048214e+18   5.2048214e+02
   6.3270000e-01   1.6420000e+00   5.2263477e+18   5.2263477e+02
   6.3760000e-01   1.6300000e+00   5.2283328e+18   5.2283328e+02
   6.4250000e-01   1.6060000e+00   5.1909397e+18   5.1909397e+02
   6.4740000e-01   1.5900000e+00   5.1784184e+18   5.1784184e+02
   6.5230000e-01   1.5810000e+00   5.1880788e+18   5.1880788e+02
   6.5720000e-01   1.4620000e+00   4.8336171e+18   4.8336171e+02
   6.6200000e-01   1.5400000e+00   5.1286850e+18   5.1286850e+02
   6.6690000e-01   1.5270000e+00   5.1230320e+18   5.1230320e+02
   6.7180000e-01   1.5160000e+00   5.1234973e+18   5.1234973e+02
   6.7660000e-01   1.4900000e+00   5.0716068e+18   5.0716068e+02
   6.8140000e-01   1.4780000e+00   5.0664514e+18   5.0664514e+02
   6.8630000e-01   1.4570000e+00   5.0303808e+18   5.0303808e+02
   6.9110000e-01   1.4680000e+00   5.1038072e+18   5.1038072e+02
   6.9590000e-01   1.4550000e+00   5.0937443e+18   5.0937443e+02
   7.0070000e-01   1.4420000e+00   5.0830536e+18   5.0830536e+02
   7.0550000e-01   1.4320000e+00   5.0823825e+18   5.0823825e+02
   7.1030000e-01   1.4080000e+00   5.0312023e+18   5.0312023e+02
   7.1500000e-01   1.3740000e+00   4.9421974e+18   4.9421974e+02
   7.1980000e-01   1.3610000e+00   4.9283016e+18   4.9283016e+02
   7.2460000e-01   1.3520000e+00   4.9283590e+18   4.9283590e+02
   7.2930000e-01   1.3270000e+00   4.8686040e+18   4.8686040e+02
   7.3400000e-01   1.3270000e+00   4.8999799e+18   4.8999799e+02
   7.3880000e-01   1.2970000e+00   4.8205232e+18   4.8205232e+02
   7.4350000e-01   1.2720000e+00   4.7576819e+18   4.7576819e+02
   7.4820000e-01   1.2860000e+00   4.8404528e+18   4.8404528e+02
   7.5290000e-01   1.2630000e+00   4.7837443e+18   4.7837443e+02
   7.5760000e-01   1.2700000e+00   4.8402857e+18   4.8402857e+02
   7.6230000e-01   1.2520000e+00   4.8012858e+18   4.8012858e+02
   7.6700000e-01   1.2370000e+00   4.7730104e+18   4.7730104e+02
   7.7170000e-01   1.2280000e+00   4.7673186e+18   4.7673186e+02
   7.8010000e-01   1.1750000e+00   4.6112159e+18   4.6112159e+02
   7.8470000e-01   1.1590000e+00   4.5752455e+18   4.5752455e+02
   7.9030000e-01   1.1540000e+00   4.5880179e+18   4.5880179e+02
   7.9490000e-01   1.1220000e+00   4.4867582e+18   4.4867582e+02
   7.9950000e-01   1.1300000e+00   4.5448989e+18   4.5448989e+02
   8.0420000e-01   1.1200000e+00   4.5311601e+18   4.5311601e+02
   8.0880000e-01   1.1070000e+00   4.5041835e+18   4.5041835e+02
   8.1340000e-01   1.1070000e+00   4.5298008e+18   4.5298008e+02
   8.1800000e-01   1.0970000e+00   4.5142670e+18   4.5142670e+02
   8.2250000e-01   1.0640000e+00   4.4025556e+18   4.4025556e+02
   8.2710000e-01   1.0690000e+00   4.4479822e+18   4.4479822e+02
   8.3170000e-01   1.0570000e+00   4.4225118e+18   4.4225118e+02
   8.3620000e-01   1.0320000e+00   4.3412738e+18   4.3412738e+02
   8.4080000e-01   1.0330000e+00   4.3693853e+18   4.3693853e+02
   8.4530000e-01   1.0130000e+00   4.3077216e+18   4.3077216e+02
   8.4980000e-01   9.8320000e-01   4.2032567e+18   4.2032567e+02
   8.5440000e-01   9.1470000e-01   3.9315810e+18   3.9315810e+02
   8.5890000e-01   9.6510000e-01   4.1700593e+18   4.1700593e+02
   8.6340000e-01   9.8700000e-01   4.2870299e+18   4.2870299e+02
   8.6790000e-01   9.3310000e-01   4.0740391e+18   4.0740391e+02
   8.7240000e-01   9.6190000e-01   4.2215593e+18   4.2215593e+02
   8.7520000e-01   9.4080000e-01   4.1422083e+18   4.1422083e+02
   8.7560000e-01   9.3130000e-01   4.1022552e+18   4.1022552e+02
   8.7600000e-01   9.3710000e-01   4.1296891e+18   4.1296891e+02
   8.7640000e-01   9.5410000e-01   4.2065260e+18   4.2065260e+02
   8.7670000e-01   9.6870000e-01   4.2723578e+18   4.2723578e+02
   8.7710000e-01   9.6960000e-01   4.2782783e+18   4.2782783e+02
   8.7750000e-01   9.6130000e-01   4.2435896e+18   4.2435896e+02
   8.7790000e-01   9.6080000e-01   4.2433158e+18   4.2433158e+02
   8.7830000e-01   9.6470000e-01   4.2624812e+18   4.2624812e+02
   8.7870000e-01   9.7010000e-01   4.2882929e+18   4.2882929e+02
   8.7900000e-01   9.5910000e-01   4.2411153e+18   4.2411153e+02
   8.7940000e-01   9.4740000e-01   4.1912846e+18   4.1912846e+02
   8.7980000e-01   9.4660000e-01   4.1896503e+18   4.1896503e+02
   8.8020000e-01   9.5350000e-01   4.2221084e+18   4.2221084e+02
   8.8060000e-01   9.2790000e-01   4.1106185e+18   4.1106185e+02
   8.8100000e-01   9.1240000e-01   4.0437891e+18   4.0437891e+02
   8.8140000e-01   9.0890000e-01   4.0301059e+18   4.0301059e+02
   8.8180000e-01   9.4050000e-01   4.1721144e+18   4.1721144e+02
   8.8220000e-01   9.4730000e-01   4.2041858e+18   4.2041858e+02
   8.8250000e-01   9.3350000e-01   4.1443493e+18   4.1443493e+02
   8.8290000e-01   9.3430000e-01   4.1497810e+18   4.1497810e+02
   8.8330000e-01   9.3860000e-01   4.1707686e+18   4.1707686e+02
   8.8370000e-01   9.4570000e-01   4.2042212e+18   4.2042212e+02
   8.8410000e-01   9.3820000e-01   4.1727670e+18   4.1727670e+02
   8.8450000e-01   9.3480000e-01   4.1595261e+18   4.1595261e+02
   8.8490000e-01   9.4070000e-01   4.1876719e+18   4.1876719e+02
   8.8530000e-01   9.4610000e-01   4.2136147e+18   4.2136147e+02
   8.8570000e-01   9.4430000e-01   4.2074983e+18   4.2074983e+02
   8.8610000e-01   9.2340000e-01   4.1162327e+18   4.1162327e+02
   8.8650000e-01   8.9940000e-01   4.0110580e+18   4.0110580e+02
   8.8680000e-01   8.8640000e-01   3.9544196e+18   3.9544196e+02
   8.8720000e-01   9.0590000e-01   4.0432361e+18   4.0432361e+02
   8.8760000e-01   9.2140000e-01   4.1142702e+18   4.1142702e+02
   8.8800000e-01   9.3140000e-01   4.1607969e+18   4.1607969e+02
   8.8840000e-01   9.3040000e-01   4.1582018e+18   4.1582018e+02
   8.8880000e-01   9.3500000e-01   4.1806419e+18   4.1806419e+02
   8.8920000e-01   9.3170000e-01   4.1677615e+18   4.1677615e+02
   8.8960000e-01   9.3170000e-01   4.1696364e+18   4.1696364e+02
   8.9000000e-01   9.3100000e-01   4.1683771e+18   4.1683771e+02
